uid,uname,login,post,life,ycf,isBM,isManager,uscore
563,nicoruise,4282,2799,354,0,1,0,4.3
564,firefly,556,803,366,0,0,0,3.6
565,Modric,2,0,29,0,0,0,0
566,baoza,3,0,23,0,0,0,0
567,goldgourd,901,104,420,0,0,0,2.8
568,Original,2666,37,421,0,0,0,2.4
569,wangwade,3991,157,119,0,0,0,2.4
570,aqyanliang,275,134,111,0,0,0,1.2
571,lube,1829,381,436,0,0,0,3.3
572,tanweijie,1781,31,415,0,0,0,2.4
573,zmszms,1404,33,664,0,0,0,2.4
574,siscyl,46,3,115,0,0,0,0.2
575,XXZxxz,126,109,89,0,0,0,1.2
576,yusiqi,762,152,363,0,0,0,2.4
577,guodongdq,44,3,115,0,0,0,0.5
578,peakcheng,1384,35,107,0,0,0,2.4
579,liangxiranha,136,4,115,0,0,0,0.8
580,Elainelou,82,0,22,0,0,0,0.2
581,Cruisehu,935,13,364,0,0,0,1.5
582,WEIGESKY,3752,3892,603,1,0,0,4.5
583,gyqshazi,4,0,46,0,0,0,0.1
584,archerqq,1407,18,664,0,0,0,2.3
585,Formosa,4142,7413,647,1,1,0,4.9
586,romin,767,290,641,2,0,0,3.2
587,shuren,157,5,353,0,0,0,0.8
588,starsxcsky,1306,14,653,0,0,0,2.2
589,Schimmer,4,0,62,0,0,0,0.2
590,Lyner,2001,110,492,0,0,0,2.8
591,andrews,554,37,464,0,0,0,2.4
592,hibiscus,589,19,662,0,0,0,2.3
593,kaline,5,1,345,0,0,0,0
594,wildgrass,122,5,605,0,0,0,2
595,wanzj,8,0,108,0,0,0,0
596,strike,9,0,92,0,0,0,0.2
